Código do alimento,Descrição do alimento,Código da preparação,Descrição da preparação,Energia (kcal),Proteína (g),Lipídios totais (g),Carboidrato (g),Fibra alimentar total (g),Colesterol (mg),AG Saturados (g),AG Mono (g),AG Poli (g),AG Linoléico (g),AG Linolênico (g),AG Trans total(g),Açúcar total (g),Açúcar de adição (g),Cálcio (mg),Magnésio (mg),Manganês (mg),Fósforo (mg),Ferro (mg),Sódio (mg),Sódio de adição (mg),Potássio (mg),Cobre (mg),Zinco (mg),Selênio (mcg),Retinol (mcg),Vitamina A (RAE) (mcg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Niacina (NE) (mg),Piridoxina (mg),Cobalamina (mcg),Folato (DFE) (mcg),Vitamina D (mcg),Vitamina E (mg),Vitamina C (mg),Grupo Alimentar
7803001,Codorna,5.0,Frito(a),269.659,32.4,14.663,-,-,89,3.918,6.211,3.017,2.361,0.304,0.277,-,-,16,22,0.026,242,1.431,43,333,271,0.084,1.37,21.875,57,57,0.07,0.18,7.53,15.047,0.75,0.72,5,0.239,0.48,2.3,12
7803201,Pé e asa de galinha ou frango,2.0,Cozido(a),290,26.86,19.46,-,-,84,5.45,7.64,4.14,3.57,0.15,0.39,-,-,15,19,0.018,151,1.27,82,333,184,0.057,1.82,22.2,47,47,0.042,0.128,6.648,11.431,0.42,0.29,3,0.4,0.27,-,12
7803201,Pé e asa de galinha ou frango,4.0,Assado(a),290,26.86,19.46,-,-,84,5.45,7.64,4.14,3.57,0.15,0.39,-,-,15,19,0.018,151,1.27,82,333,184,0.057,1.82,22.2,47,47,0.042,0.128,6.648,11.431,0.42,0.29,3,0.4,0.27,-,12
7803201,Pé e asa de galinha ou frango,5.0,Frito(a),312.659,26.86,22.023,-,-,84,5.851,8.224,5.62,4.876,0.324,0.404,-,-,15,19,0.018,151,1.271,82,333,184,0.057,1.82,23.375,47,47,0.042,0.128,6.648,11.431,0.42,0.29,3,0.4,0.48,-,12
7803301,Ovo de galinha,1.0,Cru(a),155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,2.0,Cozido(a),155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,4.0,Assado(a),155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,5.0,Frito(a),222.591,13.674,17.654,1.217,-,460.87,4.509,5.826,5.071,4.41,0.454,0.033,1.326,-,54.348,10.87,0.028,186.957,1.297,134.783,205,136.957,0.014,1.142,36.284,182.609,184.058,0.072,0.558,0.07,2.841,0.132,1.207,47.826,1.391,1.62,-,12
7803301,Ovo de galinha,7.0,Refogado(a),155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,8.0,Molho vermelho,155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,10.0,Ao alho e óleo,222.591,13.674,17.654,1.217,-,460.87,4.509,5.826,5.071,4.41,0.454,0.033,1.326,-,54.348,10.87,0.028,186.957,1.297,134.783,205,136.957,0.014,1.142,36.284,182.609,184.058,0.072,0.558,0.07,2.841,0.132,1.207,47.826,1.391,1.62,-,12
7803301,Ovo de galinha,11.0,Com manteiga/óleo,214.181,13.728,16.703,1.221,-,474.574,6.825,5.771,1.731,1.465,0.058,0.209,1.332,-,55.878,10.997,0.028,188.486,1.295,171.497,205,138.486,0.014,1.147,33.542,225.379,227.667,0.072,0.56,0.072,2.857,0.132,1.217,48.017,1.481,1.267,-,12
7803301,Ovo de galinha,12.0,Ao vinagrete,155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,13.0,Ensopado,155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,14.0,Mingau,155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
7803301,Ovo de galinha,99.0,Não se aplica,155,12.58,10.61,1.12,-,424,3.267,4.077,1.414,1.188,0.035,-,1.22,-,50,10,0.026,172,1.19,124,-,126,0.013,1.05,30.8,168,169.333,0.066,0.513,0.064,2.614,0.121,1.11,44,1.28,1.03,-,12
